StationID,BenSampID,RepNum,Collection Date,Sample Comments,Collected By,Field Team,Entered By,Taxonomist,Entered Date,Gradient,Target Count,Season
2-JKS023.61,FAMJKS2972,1,2003-10-15T12:00:00Z,NA,GEORGEJ DEVLIN,"GD,MD",GJD,GEORGEJ DEVLIN,2004-06-23T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS4339,1,2007-05-11T13:00:00Z,NA,JASONR HILL,"JRH, RDM",JRH,JASONR HILL,2007-08-16T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS3320,1,2004-11-01T12:15:00Z,NA,GEORGEJ DEVLIN,"GJD, JRH",MVR,MARYV RUMMEL (DAIL),2005-03-07T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS1331,1,1998-11-24T10:00:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,1999-04-30T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS1484,1,2000-04-13T10:00:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2000-07-05T00:00:00Z,Riffle,110,Spring
2-JKS023.61,JKS1354R110,1,2010-08-23T11:00:00Z,NA,GEORGEJ DEVLIN,"GJD, MH",GJD,GEORGEJ DEVLIN,2020-07-30T17:19:58Z,Boatable,110,Fall
2-JKS023.61,JKS1354,1,2010-08-23T11:00:00Z,NA,GEORGEJ DEVLIN,"GJD, MH",GJD,GEORGEJ DEVLIN,2020-07-30T17:19:58Z,Boatable,200,Fall
2-JKS023.61,JKS2779R110,1,2011-08-23T09:45:00Z,NA,GEORGEJ DEVLIN,"RB, JH",GJD,GEORGEJ DEVLIN,2012-09-12T00:00:00Z,Boatable,110,Fall
2-JKS023.61,JKS2779,1,2011-08-23T09:45:00Z,NA,GEORGEJ DEVLIN,"RB, JH",GJD,GEORGEJ DEVLIN,2012-07-16T00:00:00Z,Boatable,200,Fall
2-JKS023.61,JKS4993R110,1,2013-08-22T11:30:00Z,NA,GEORGEJ DEVLIN,gjd,RDM,RICHARD (DREW)D MILLER,2014-02-26T00:00:00Z,Boatable,110,Fall
2-JKS023.61,JKS4993,1,2013-08-22T11:30:00Z,NA,GEORGEJ DEVLIN,gjd,RDM,RICHARD (DREW)D MILLER,2014-02-06T00:00:00Z,Boatable,200,Fall
2-JKS023.61,FAMJKS873,1,1997-06-20T11:15:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Outside Sample Window
2-JKS023.61,JKS6705R110,1,2014-08-26T11:25:00Z,NA,RICHARD (DREW)D MILLER,GJD,RDM,RICHARD (DREW)D MILLER,2015-06-04T00:00:00Z,Boatable,110,Fall
2-JKS023.61,JKS6705,1,2014-08-26T11:25:00Z,NA,RICHARD (DREW)D MILLER,GJD,RDM,RICHARD (DREW)D MILLER,2015-05-11T00:00:00Z,Boatable,200,Fall
2-JKS023.61,FAMJKS1172,1,1998-06-01T11:00:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS4340,1,2006-09-26T15:30:00Z,NA,MARYV RUMMEL (DAIL),"MRD, JRH",JRH,JASONR HILL,2007-08-16T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS192,1,1995-05-23T12:00:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Spring
2-JKS023.61,JKS8498R110,1,2015-08-25T11:30:00Z,NA,GEORGEJ DEVLIN,GJD,RDM,RICHARD (DREW)D MILLER,2017-01-10T00:00:00Z,Boatable,110,Fall
2-JKS023.61,JKS8498,1,2015-08-25T11:30:00Z,NA,GEORGEJ DEVLIN,GJD,RDM,RICHARD (DREW)D MILLER,2016-10-04T00:00:00Z,Boatable,200,Fall
2-JKS023.61,JKS7821R110,1,2015-08-25T11:30:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2016-03-15T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS10700R110,1,2017-08-23T09:30:00Z,"N= 166, empty midge retreats, pupae and many worm pieces possibly counted during sorting.  Sample reduced due to high number in first grid.",GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2018-10-01T00:00:00Z,Boatable,110,Fall
2-JKS023.61,JKS10700,1,2017-08-23T09:30:00Z,"N= 166, empty midge retreats, pupae and many worm pieces possibly counted during sorting.  Sample reduced due to high number in first grid.",GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2018-07-12T00:00:00Z,Boatable,200,Fall
2-JKS023.61,FAMJKS3166,1,2004-05-13T13:45:00Z,NA,GEORGEJ DEVLIN,"GD,MD,JH",GJD,GEORGEJ DEVLIN,2005-01-10T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS2,1,1994-11-03T10:30:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Fall
CRO1Fall,CRO1Fall,1,2022-11-03T10:30:00Z,NA,Mel,Mel,Mel,Mel,2020-07-30T17:19:54Z,Riffle,200,Fall
CRO1Spring,CRO1Spring,1,2022-05-03T10:30:00Z,NA,Mel,Mel,Mel,Mel,2020-07-30T17:19:54Z,Riffle,200,Spring
CRO2Fall,CRO2Fall,1,2022-11-03T10:30:00Z,NA,Mel,Mel,Mel,Mel,2020-07-30T17:19:54Z,Riffle,200,Fall
